path,label
.\data\images\badminton\00000000.jpg,0
.\data\images\badminton\00000001.jpg,0
.\data\images\badminton\00000002.png,0
.\data\images\badminton\00000003.jpg,0
.\data\images\badminton\00000004.jpg,0
.\data\images\badminton\00000005.jpg,0
.\data\images\badminton\00000006.JPG,0
.\data\images\badminton\00000007.png,0
.\data\images\badminton\00000008.jpg,0
.\data\images\badminton\00000009.png,0
.\data\images\badminton\00000010.jpg,0
.\data\images\badminton\00000011.jpeg,0
.\data\images\badminton\00000012.jpg,0
.\data\images\badminton\00000013.jpg,0
.\data\images\badminton\00000014.jpg,0
.\data\images\badminton\00000016.jpg,0
.\data\images\badminton\00000017.jpg,0
.\data\images\badminton\00000018.jpg,0
.\data\images\badminton\00000019.jpg,0
.\data\images\badminton\00000020.jpg,0
.\data\images\badminton\00000021.jpg,0
.\data\images\badminton\00000022.jpg,0
.\data\images\badminton\00000023.png,0
.\data\images\badminton\00000024.jpg,0
.\data\images\badminton\00000025.jpg,0
.\data\images\badminton\00000026.jpg,0
.\data\images\badminton\00000027.jpg,0
.\data\images\badminton\00000028.jpg,0
.\data\images\badminton\00000029.jpg,0
.\data\images\badminton\00000030.jpg,0
.\data\images\badminton\00000031.jpg,0
.\data\images\badminton\00000032.jpg,0
.\data\images\badminton\00000033.jpg,0
.\data\images\badminton\00000034.jpg,0
.\data\images\badminton\00000035.jpg,0
.\data\images\badminton\00000036.jpg,0
.\data\images\badminton\00000037.jpg,0
.\data\images\badminton\00000038.jpg,0
.\data\images\badminton\00000039.jpg,0
.\data\images\badminton\00000040.jpg,0
.\data\images\badminton\00000041.jpg,0
.\data\images\badminton\00000042.jpg,0
.\data\images\badminton\00000043.jpg,0
.\data\images\badminton\00000044.jpg,0
.\data\images\badminton\00000045.jpg,0
.\data\images\badminton\00000046.jpg,0
.\data\images\badminton\00000047.jpg,0
.\data\images\badminton\00000048.jpg,0
.\data\images\badminton\00000049.jpg,0
.\data\images\badminton\00000050.jpg,0
.\data\images\badminton\00000051.jpg,0
.\data\images\badminton\00000052.jpg,0
.\data\images\badminton\00000053.jpg,0
.\data\images\badminton\00000054.jpg,0
.\data\images\badminton\00000055.png,0
.\data\images\badminton\00000056.jpg,0
.\data\images\badminton\00000057.jpg,0
.\data\images\badminton\00000058.jpg,0
.\data\images\badminton\00000059.jpg,0
.\data\images\badminton\00000060.jpg,0
.\data\images\badminton\00000061.jpg,0
